timestamp,strategy,n_eligible,n_busy,n_pass_long,n_pass_short,n_score_cut,n_candidates,top_long_blocker,top_long_blocker_n,top_short_blocker,top_short_blocker_n,long_blockers,short_blockers
2026-09-04T20:42:05Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:47:17Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:47:17Z,longshort,16,5,4,0,0,4,pc_1h<,6,pc_1h>,16,pc_1h<=6;pc_24h<=6,pc_1h>=16
2026-09-04T20:47:17Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,7,ret_30m<=7,ret_30m>=7
2026-09-04T20:47:17Z,aggressive,34,3,2,0,0,2,pc_24h<,22,,0,pc_24h<=22;pc_1h<=10,
2026-09-04T20:48:28Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:48:28Z,longshort,16,5,4,0,0,4,pc_1h<,6,pc_1h>,16,pc_1h<=6;pc_24h<=6,pc_1h>=16
2026-09-04T20:48:28Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,6,ret_30m<=7,ret_30m>=6;ema_spread>=1
2026-09-04T20:48:28Z,aggressive,34,3,2,0,0,2,pc_24h<,22,,0,pc_24h<=22;pc_1h<=10,
2026-09-04T20:49:39Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:49:39Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:49:39Z,daytrade,7,5,0,0,0,0,ret_30m<,6,ret_30m>,6,ret_30m<=6;range_pos<=1,ret_30m>=6;ema_spread>=1
2026-09-04T20:49:39Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:50:40Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:50:40Z,longshort,15,5,4,0,0,4,pc_24h<,6,pc_1h>,15,pc_24h<=6;pc_1h<=5,pc_1h>=15
2026-09-04T20:50:40Z,daytrade,7,5,0,0,0,0,ret_30m<,6,ret_30m>,6,ret_30m<=6;range_pos<=1,ret_30m>=6;ema_spread>=1
